StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Radio,Age,English Level,LLM Familiarity,Occupation,Occupation_17_TEXT,Q4,RateEF12,RateEF12why,RateEF12rewrite,RateBA12,RateBA12why,RateBA12rewrite,RateEF13,RateEF13why,RateEF13rewrite,ChoiceEF12,ChoiceEF12why,ChoiceEF12rewrite,ChoiceBA12,ChoiceBA12why,ChoiceBA12rewrite,ChoiceEF13,ChoiceEF13why,ChoiceEF13rewrite
2025-03-25 11:27:27,2025-03-25 14:03:04,IP Address,100,9337,True,2025-03-25 14:03:06,R_2D6oWJmximX6d8O,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 15:23:20,2025-03-25 15:49:05,IP Address,100,1544,True,2025-03-25 15:49:06,R_82KVXcfDy0zJ2Fm,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 15:47:25,2025-03-25 16:04:30,IP Address,100,1024,True,2025-03-25 16:04:31,R_8E9PGqDfnVqCYbL,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 16:17:21,2025-03-25 16:32:12,IP Address,100,891,True,2025-03-25 16:32:13,R_2cGn1SD9AMXprjz,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 16:27:19,2025-03-25 16:38:44,IP Address,100,684,True,2025-03-25 16:38:44,R_8AjFWN7QF0lk3Yd,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 16:03:35,2025-03-25 17:17:42,IP Address,100,4447,True,2025-03-25 17:17:43,R_2fW8LyjBflDx8e5,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 17:29:44,2025-03-25 17:47:55,IP Address,100,1090,True,2025-03-25 17:47:56,R_8qjHWGKCsUwADw4,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 18:31:10,2025-03-25 19:03:18,IP Address,100,1928,True,2025-03-25 19:03:18,R_2sLQa0FwOW0n2kF,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,No,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 12:00:20,2025-03-25 19:31:50,IP Address,100,27089,True,2025-03-25 19:31:50,R_2X5Kw4Fck7mrvuF,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 19:18:13,2025-03-25 20:00:48,IP Address,100,2555,True,2025-03-25 20:00:49,R_8WJds7hsSYMO3SI,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 19:55:54,2025-03-25 20:13:50,IP Address,100,1075,True,2025-03-25 20:13:50,R_8FtFNSF5BlCm3oE,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 22:35:49,2025-03-25 22:50:40,IP Address,100,890,True,2025-03-25 22:50:40,R_8OriQB4hUAhjPsj,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-26 08:17:06,2025-03-26 08:31:35,IP Address,100,868,True,2025-03-26 08:31:35,R_8LBstTyJLwQs5IR,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Information Technology (IT) and Software Development,,Man,,,,,,,,,,,,,,,,,,
2025-03-26 13:37:40,2025-03-26 14:31:34,IP Address,100,3233,True,2025-03-26 14:31:34,R_3gnImmcOVIfpDVn,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",55 to 64,Fluent (C1/C2),Yes,Other (specify in the text box below),Human Resources,Woman,,,,,,,,,,,,,,,,,,
2025-03-26 14:43:19,2025-03-26 14:55:15,IP Address,100,715,True,2025-03-26 14:55:16,R_2gSCuJoZXCjs8I3,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-26 00:30:22,2025-03-26 22:00:27,IP Address,100,77405,True,2025-03-26 22:00:28,R_8kzEicqoVh0UfJp,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,1 - Definitely AI,"I feel like the song name being mentioned twice is a give away. Also the use of the word ""delving"".","In this article, I will be reviewing The Weekend's latest masterpiece ""Blinding Lights"". A song that has been climbing the charts and captivating the hearts of millions of people. First, let's talk about the interesting lyrics. The Weeknd's penmanship is consistently impressive, and the track is no exception. Exploring the themes of lost love and the consequences of living life in the fast lane, The Weeknd masterfully captures the raw emotions of a broken heart and a man desperate to move forward, in the chaos...",4 - Definitely human,"The word ""Body"" being present. Additionally, the structure flows more cohesively.   ",,3 - Likely human,The tonality of the text changes from professional to playful to professional again. Seems like something a human would say and hence write.,"""As English learners and aspiring professionals, it's essential to familiarize ourselves with the vocabulary and expressions used in the industries. Let's dive into it! Firstly, it is necessary to understand the unique requirements and preferences of affluent clients. The definition of 'rich client' may vary, but for the sake of this discussion, we will consider them as those with substantial financial resources who seek high-end, luxurious properties. In the beginning, it is important to establish a strong relationship built on trust, professionalism,...""","1) ""I am writing to extend my heartfelt congratulations on your recent achievement. Being honored with the award is a truly remarkable feat and I am absolutely thrilled for you. I have always known you to be an exceptional individual, full of talent and dedication. Your hard work and perseverance have finally paid off. To receive...""","Text1 just sounds like it's spamming nice adjectives in a very corporate manner. While text2, has some more spelling mistake and seems negative which I think is unlikely for an LLM to generate.","""I am congrating you for you university graduation! The award shows your dedication and hard work. I have always believed in you. Talk to ya soon!","2) ""The Significance of Language in Constructing Identity and Its Reflection in Personal Experience Introduction Language plays a pivotal role in society, serving not only as a medium for communication but also as a crucial tool in shaping individual and collective identities. It's through language that we express thoughts, emotions, and experiences, thereby defining ourselves and understanding...""",Text1 sounds more human since it sounds like it uses more conversation and makes it's ideas more clear. Text2 uses more esoteric language.,"""Individual and collective identities and way of communication are formed by personal experiencess. It's through language that we express thoughts, emotions, and experiences, thereby defining ourselves and understanding..."" ","2) ""I've been thinking a lot about our conversation the other day, and I felt it was important to share my thoughts with you. First, I want to express my concern about the plan you have been discussing. I understand that it may seem exciting or even necessary, but I believe there are potential risks involved that...""",The first text has spelling mistakes which makes me believe it's human generated.,"""I've been thinking a lot about our meeting the other day, and I felt it was important to share my thoughts with you. I have concerns about the plan you have been discussing. I understand that it may seem exciting or even necessary, but I believe there are potential risks involved that..."" "
2025-03-26 16:32:57,2025-03-27 10:05:26,IP Address,100,63148,True,2025-03-27 10:05:26,R_8RWp0La3Sr6myQx,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",55 to 64,Fluent (C1/C2),Yes,"Science, Research, and Engineering",,Man,2 - Likely AI,"Weird word orders in some sentences, use of adjectives, ""artificial"" sounding construct of sentences","In this article I will be reviewing ""Blinding Lights"", one of his masterpieces and a song which has been illuminating the charts and captivating the hearts of millions of people around the world. Let's talk first about the intricate lyrics. The Weeknd's penmanship is consistently impressive and ""Blinding Lights"" is no exception to it. Delving into the themes of lost love and consequences of living life in the fast lane, The Weeknd masterfully captures the raw emotions of a broken heart, and a man desperate to move forward amidst the chaos...",3 - Likely human,"Fluency and proper, specialized use of medical terms...that ""Body Firstly"" in the middle sounds suspicious though...","This essay will investigate the myriad ways through which aphasia contributes to our comprehension of the linguistic localisation in the cerebral cortex, underscoring the intricate neurological underpinnings of human language. Aphasia provides a clear-cut illustration of the left-lateralisation of language functions in the human brain. When language abilities are impaired due to damage in the left hemisphere, it is compelling evidence supporting Broca's and Wernicke's theories of left hemisphere specialisation for language processing. The distinct language patterns, such as Bro..."" ",4 - Definitely human,"Fluency and ""natural"" use of punctuation",,"2) ""Dear Mary, congratulations on graduating from University! I'm very proud of you. You'd like to thank your wonderful, inspiring, amazing family first. You would never been able to win an award without them. If you're successful, you owe all your achievement to them. They love you and support you, and always have the perfect words of...""","Text 2 seems way too much ""outward"" biased towards the family, while the achievement should be more directed to the person graduating, as they're center-stage in this case","Dear Mary, congratulations on graduating from University! I'm very proud of you. Your wonderful, inspiring, amazing family should be thanked first. You would have never been able to win an award without them. If you're going to be successful, part of your achievement you also owe to them. They love you and support you, and always have the perfect words of...","2) ""The Significance of Language in Constructing Identity and Its Reflection in Personal Experience Introduction Language plays a pivotal role in society, serving not only as a medium for communication but also as a crucial tool in shaping individual and collective identities. It's through language that we express thoughts, emotions, and experiences, thereby defining ourselves and understanding...""","Weird start of the text, too much emphasis by strange use of adjectives and word order","""The Significance of Language in Constructing Identity and Its Reflection in Personal Experience""
- Introduction - 
Language plays a pivotal role in society, serving not only as a medium for communication but also as a crucial tool in shaping individual and collective identities. It's through language that we express thoughts, emotions, and experiences, thereby defining ourselves and understanding...","1) ""bello Bobby, It seems you have some difficulties choosing the right direction of your life. I would like to warn you about the possibility of really negative consequences you behavior may cause. Look, everyone from us has difficult times. And it is crucially important not to make any actions you may regret about afterwards. Don't panic!...""","""Bello"" sounds out of context here, ""you behaviour"" is a mistake (should be clearly ""your"") ","My dear Bobby, it seems you have difficulties choosing the right direction of your life. I would like to warn you about the possibility of really negative consequences youR behavior may cause. Look, everyone from us has difficult times. And it is crucially important not to take any actions you may regret about afterwards. Don't panic!..."
2025-03-27 08:26:11,2025-03-27 11:17:22,IP Address,100,10270,True,2025-03-27 11:17:22,R_8w6LDWL9G3T8TLh,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-28 10:07:45,2025-03-28 10:49:07,IP Address,100,2481,True,2025-03-28 10:49:07,R_81HPZeKlzGQZ2ww,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Education/Academia,,Man,,,,,,,,,,,,,,,,,,
2025-03-28 10:31:07,2025-03-28 11:09:57,IP Address,100,2329,True,2025-03-28 11:09:57,R_8OUIlxyTHd8adw8,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-28 11:02:31,2025-03-28 11:30:49,IP Address,100,1697,True,2025-03-28 11:30:49,R_8jTcgodI9aVrl02,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-28 14:53:16,2025-03-28 15:03:31,IP Address,100,614,True,2025-03-28 15:03:32,R_2IgQRTW5Ub40PbU,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
