StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Radio,Age,English Level,LLM Familiarity,Occupation,Occupation_17_TEXT,Q4,RateEF15,RateEF15why,RateEF15rewrite,RateBA15,RateBA15why,RateBA15rewrite,RateEF16,RateEF16why,RateEF16rewrite,ChoiceEF15,ChoiceEF15why,ChoiceEF15rewrite,ChoiceBA15,ChoiceBA15why,ChoiceBA15rewrite,ChoiceEF16,ChoiceEF16why,ChoiceEF16rewrite
2025-03-25 11:27:27,2025-03-25 14:03:04,IP Address,100,9337,True,2025-03-25 14:03:06,R_2D6oWJmximX6d8O,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 15:23:20,2025-03-25 15:49:05,IP Address,100,1544,True,2025-03-25 15:49:06,R_82KVXcfDy0zJ2Fm,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 15:47:25,2025-03-25 16:04:30,IP Address,100,1024,True,2025-03-25 16:04:31,R_8E9PGqDfnVqCYbL,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 16:17:21,2025-03-25 16:32:12,IP Address,100,891,True,2025-03-25 16:32:13,R_2cGn1SD9AMXprjz,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 16:27:19,2025-03-25 16:38:44,IP Address,100,684,True,2025-03-25 16:38:44,R_8AjFWN7QF0lk3Yd,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 16:03:35,2025-03-25 17:17:42,IP Address,100,4447,True,2025-03-25 17:17:43,R_2fW8LyjBflDx8e5,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 17:29:44,2025-03-25 17:47:55,IP Address,100,1090,True,2025-03-25 17:47:56,R_8qjHWGKCsUwADw4,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 18:31:10,2025-03-25 19:03:18,IP Address,100,1928,True,2025-03-25 19:03:18,R_2sLQa0FwOW0n2kF,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,No,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 12:00:20,2025-03-25 19:31:50,IP Address,100,27089,True,2025-03-25 19:31:50,R_2X5Kw4Fck7mrvuF,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,3 - Likely human,Gut instinct is pushing me towards saying that this text is human written though I wouldn't be surprised if this was AI generated due to the dullness of the words chosen,"Urban environments tend towards having a faster pace of living when compared to rural living, as well as that urban envirnoments tend towards less ethnic cohession due to people moving there from all over the world searching for work, where rural areas tend to be more ethnically cohessive.",2 - Likely AI,The text is dry and too detached to sound human,"This essay will explore the importance of communication within an industrial setting; discuss the impact that it has on productivity, decision making and organizational success. Effective communication is, in the frantic world of business, essential to ensuring that industrial enterprises are kept afloat, by enabling the flow of ideas and fostering a greater sense of teamwork and unity within the workplace.",3 - Likely human,Sounds like it could have been written by a human as it reads as though it could have been taken from an autobiographical piece,"I always loved writting and, after finding out about a national writing competition for non-native speakers I decided to enter. As part of the preperations I made sure taht I understood the rules and regulations for the competition and asked my English teacher for help in writing my entry.","1) ""This country, with its rich history and vibrant culture, never ceases to amaze me. However, the most memorable event was my journey to the Great Wall of China. The Great Wall of China, a marvel of engineering and perseverance, is a sight to behold. The day I visited, the sky was clear, and a gentle breeze...""","Text 2 sounds more human as its starts like a letter sent to someone would, where as Text 1 is far more analytical, though both could have been written by a human under certain circumstances.","I chose to visit China as a result of its rich history and vibrant culture, whilst I was there I travelled to the Great Wall of China, truly it is a sight to behold made all the better by the weather on the day I visited","2) ""While the Euro's merits, such as increased trade and strengthened political unity, are appealing, the disparities between the UK's housing market and the Euro's economic fundamentals present substantial obstacles. This essay will delve into the ways in which the UK housing market functions, highlighting its role in perpetuating economic instability and impeding Britain's entrance into the...""","I dont know, it was difficult to descern which was AI",I don't know how to make it sound more human,"1) ""If I had the opportunity to ask a dream, whatever this meaning, I'd ask just to achieve my objectives related to my career. I simply think that we just to focus in our profession, not just by the money, but by the social function that we need to exercise. therewith I think that a variety of...""","If I had the chance to ask a dream, whatever that means, I would ask it how to achieve my goals for my career. I believe if we focus not merely on the professional and the money and, that instead we should think about the social function that we need to exercise","See previous answer, thought that was what the prior question was asking for"
2025-03-25 19:18:13,2025-03-25 20:00:48,IP Address,100,2555,True,2025-03-25 20:00:49,R_8WJds7hsSYMO3SI,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 19:55:54,2025-03-25 20:13:50,IP Address,100,1075,True,2025-03-25 20:13:50,R_8FtFNSF5BlCm3oE,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 22:35:49,2025-03-25 22:50:40,IP Address,100,890,True,2025-03-25 22:50:40,R_8OriQB4hUAhjPsj,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-26 08:17:06,2025-03-26 08:31:35,IP Address,100,868,True,2025-03-26 08:31:35,R_8LBstTyJLwQs5IR,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Information Technology (IT) and Software Development,,Man,,,,,,,,,,,,,,,,,,
2025-03-26 13:37:40,2025-03-26 14:31:34,IP Address,100,3233,True,2025-03-26 14:31:34,R_3gnImmcOVIfpDVn,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",55 to 64,Fluent (C1/C2),Yes,Other (specify in the text box below),Human Resources,Woman,,,,,,,,,,,,,,,,,,
2025-03-26 14:43:19,2025-03-26 14:55:15,IP Address,100,715,True,2025-03-26 14:55:16,R_2gSCuJoZXCjs8I3,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-26 00:30:22,2025-03-26 22:00:27,IP Address,100,77405,True,2025-03-26 22:00:28,R_8kzEicqoVh0UfJp,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-26 16:32:57,2025-03-27 10:05:26,IP Address,100,63148,True,2025-03-27 10:05:26,R_8RWp0La3Sr6myQx,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",55 to 64,Fluent (C1/C2),Yes,"Science, Research, and Engineering",,Man,,,,,,,,,,,,,,,,,,
2025-03-27 08:26:11,2025-03-27 11:17:22,IP Address,100,10270,True,2025-03-27 11:17:22,R_8w6LDWL9G3T8TLh,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-28 10:07:45,2025-03-28 10:49:07,IP Address,100,2481,True,2025-03-28 10:49:07,R_81HPZeKlzGQZ2ww,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Education/Academia,,Man,,,,,,,,,,,,,,,,,,
2025-03-28 10:31:07,2025-03-28 11:09:57,IP Address,100,2329,True,2025-03-28 11:09:57,R_8OUIlxyTHd8adw8,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-28 11:02:31,2025-03-28 11:30:49,IP Address,100,1697,True,2025-03-28 11:30:49,R_8jTcgodI9aVrl02,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-28 14:53:16,2025-03-28 15:03:31,IP Address,100,614,True,2025-03-28 15:03:32,R_2IgQRTW5Ub40PbU,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
