StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Radio,Age,English Level,LLM Familiarity,Occupation,Occupation_17_TEXT,Q4,RateBA4,RateBA4why,RateBA4rewrite,RateEF5,RateEF5why,RateEF5rewrite,RateBA5,RateBA5why,RateBA5rewrite,ChoiceBA4,ChoiceBA4why,ChoiceBA4rewrite,ChoiceEF5,ChoiceEF5why,ChoiceEF5rewrite,ChoiceBA5,ChoiceBA5why,ChoiceBA5rewrite
2025-03-25 16:27:19,2025-03-25 16:38:44,IP Address,100,684,True,2025-03-25 16:38:44,R_8AjFWN7QF0lk3Yd,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,4 - Definitely human,‘people’s’. and feels very personal,,4 - Definitely human,repetition of sentence openers,,1 - Definitely AI,big words and well structured,"In George Orwell's novel 1984, the totalitarian regime controls language as a means of having power over the population. As the protagonist Winston Smith observes, 'The English language was coming under a deadly attack. In its place [the regime] was fostering a debased form of Russian, a kind of pidgin English, easy to learn and not very expressive' (Orwell, 1949, p. 22). Orwell illustrates that language is not only a reflection of relationships of power, but rather a tool used by those in power...","1) ""The proliferation of financial crises since the 1970s has raised concerns about the stability of the global economy. The International Monetary Fund (IMF) has been criticized for its role in these crises, with some arguing that it has exacerbated the problem. In this essay, we will examine the causes of financial crises and the role of...""",ai always puts abbreviations in brackets. and it speaks more objectively,"The proliferation of financial crises since the 1970s has raised concerns about the stability of the global economy. The International Monetary Fund has been criticized for its role in these crises, with some arguing that it has exacerbated the problem. In this essay, we will examine the causes of financial crises and the role of…","1) ""Examples of renewable energy sources include solar power, wind power, hydro power, and geothermal energy. In this essay, I think we should choose solar power as our main source of energy because it is clean, abundant and cost-effective. First, solar power is clean. It does not produce pollution like fossil fuels and causes damage to the...""",it’s less personal,"(I don’t know sorry) Examples of renewable energy sources include solar power, wind power, hydro power, and geothermal energy. In this essay, I think we should choose solar power as our main source of energy because it is clean, abundant and cost-effective. First, solar power is clean. It does not produce pollution like fossil fuels and causes damage to the...","1) ""The development of feminist thought and action in Japan is distinct from that of its emergence in the West, more specifically within the United States and Britain. Though influenced by Western politics, the development of feminism in Japan was also initiated by numerous other social and political factors that affected the political climate at that specific...""",sounds more like a student wrote it,"The development of feminism in Japan is distinct from the West, more specifically within the United States and Britain. Though influenced by Western politics, the development of feminism in Japan was also initiated by numerous other social and political factors that affected the political climate at that specific"
2025-03-25 16:03:35,2025-03-25 17:17:42,IP Address,100,4447,True,2025-03-25 17:17:43,R_2fW8LyjBflDx8e5,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 17:29:44,2025-03-25 17:47:55,IP Address,100,1090,True,2025-03-25 17:47:56,R_8qjHWGKCsUwADw4,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 18:31:10,2025-03-25 19:03:18,IP Address,100,1928,True,2025-03-25 19:03:18,R_2sLQa0FwOW0n2kF,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,No,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 12:00:20,2025-03-25 19:31:50,IP Address,100,27089,True,2025-03-25 19:31:50,R_2X5Kw4Fck7mrvuF,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 19:18:13,2025-03-25 20:00:48,IP Address,100,2555,True,2025-03-25 20:00:49,R_8WJds7hsSYMO3SI,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 19:55:54,2025-03-25 20:13:50,IP Address,100,1075,True,2025-03-25 20:13:50,R_8FtFNSF5BlCm3oE,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 22:35:49,2025-03-25 22:50:40,IP Address,100,890,True,2025-03-25 22:50:40,R_8OriQB4hUAhjPsj,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-26 08:17:06,2025-03-26 08:31:35,IP Address,100,868,True,2025-03-26 08:31:35,R_8LBstTyJLwQs5IR,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Information Technology (IT) and Software Development,,Man,,,,,,,,,,,,,,,,,,
2025-03-26 13:37:40,2025-03-26 14:31:34,IP Address,100,3233,True,2025-03-26 14:31:34,R_3gnImmcOVIfpDVn,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",55 to 64,Fluent (C1/C2),Yes,Other (specify in the text box below),Human Resources,Woman,,,,,,,,,,,,,,,,,,
2025-03-26 14:43:19,2025-03-26 14:55:15,IP Address,100,715,True,2025-03-26 14:55:16,R_2gSCuJoZXCjs8I3,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-26 00:30:22,2025-03-26 22:00:27,IP Address,100,77405,True,2025-03-26 22:00:28,R_8kzEicqoVh0UfJp,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-26 16:32:57,2025-03-27 10:05:26,IP Address,100,63148,True,2025-03-27 10:05:26,R_8RWp0La3Sr6myQx,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",55 to 64,Fluent (C1/C2),Yes,"Science, Research, and Engineering",,Man,,,,,,,,,,,,,,,,,,
2025-03-27 08:26:11,2025-03-27 11:17:22,IP Address,100,10270,True,2025-03-27 11:17:22,R_8w6LDWL9G3T8TLh,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-28 10:07:45,2025-03-28 10:49:07,IP Address,100,2481,True,2025-03-28 10:49:07,R_81HPZeKlzGQZ2ww,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Education/Academia,,Man,,,,,,,,,,,,,,,,,,
2025-03-28 10:31:07,2025-03-28 11:09:57,IP Address,100,2329,True,2025-03-28 11:09:57,R_8OUIlxyTHd8adw8,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-28 11:02:31,2025-03-28 11:30:49,IP Address,100,1697,True,2025-03-28 11:30:49,R_8jTcgodI9aVrl02,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,3 - Likely human,Multiple sentences broken up with commas in a way I don't associate with the way AI models usually speak,"People's lives are constructed by their beliefs and the assumptions that come with them. As a student, at the beginning of my course, I believed that social reality is created through collective beliefs and actions. However, after completing the course and engaging with various texts and debates, I have developed a different perspective. I now believe that social reality is constructed by individuals, and their actions and interactions. This is because our experiences, understanding, and perception of reality are all subjective. ",4 - Definitely human,"Very simple text, written like a child using only basic ""there is"" sentences",,4 - Definitely human,Citation and quote included,,"1) ""The proliferation of financial crises since the 1970s has raised concerns about the stability of the global economy. The International Monetary Fund (IMF) has been criticized for its role in these crises, with some arguing that it has exacerbated the problem. In this essay, we will examine the causes of financial crises and the role of...""","text 1 appeared more AI generated because it's written more matter-of-fact than text 2, which expresses opinions through its language and uses techniques to lead in to an argument more subtle than text 1's ""in this essay""","The rapid increase in financial crises since the 1970s has raised concerns about the stability of the global economy. The International Monetary Fund (IMF) has been criticized for its role in these crises, with some arguing that it has exacerbated the problem. In this essay, we will examine the causes of financial crises and the role of...","1) ""Examples of renewable energy sources include solar power, wind power, hydro power, and geothermal energy. In this essay, I think we should choose solar power as our main source of energy because it is clean, abundant and cost-effective. First, solar power is clean. It does not produce pollution like fossil fuels and causes damage to the...""","Neither text reads very well-written, which throws me off because I consider AI text to lean overly sophisticated in its language than otherwise. I think text 1 is AI generated because text 2 is more personal to their town, and text 1 reads like they've copy and pasted a bullet point list (from LLM) and put it into an essay","S power, wind power, hydro power, and geothermal energy are all forms of renewable energy. In this essay, solar power is argued to be the ideal main source of energy because it is clean, abundant and cost-effective. It does not produce pollution like fossil fuels and cause damage to the...","2) ""In this essay, we will outline the key events and developments that led to the emergence and evolution of feminism in Japan. In the Meiji period (1868-1912), Japan underwent a period of rapid modernization, driven by the government's desire to establish a modern, Western-style state. This modernization process brought about significant changes in the roles and...""",Text 2 is more succinct and uses more academic language,"This essay will outline the key events and developments that led to the emergence and evolution of feminism in Japan. In the Meiji period (1868-1912), Japan underwent a period of rapid modernization, driven by the government's desire to establish a modern, Western-style state. This process brought about significant changes in the roles and..."
2025-03-28 14:53:16,2025-03-28 15:03:31,IP Address,100,614,True,2025-03-28 15:03:32,R_2IgQRTW5Ub40PbU,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
