CORPUS,TOPIC_ID,TOPIC,HUMAN_TEXT,PROMPT,LLAMA_TEXT,GEMMA_NAME,MISTRAL_TEXT
EFCAMDAT,EF_1,Planning for the future,"Career Plan Name: Joe ciao 1. First, I need to find a school to keep learning English, especially language speaking. 2. Next, attend to the school's language community, to make friend and practice English writing. 3. Another thing I should lead my teammate to maintain and improve our produce's quality, to be increase customers' confidence, which can help build up our business. 4. The fourth stage of my plan is keep in touch with fashion world, make some fabric's treatment and accessory's development before seasonal star. Then pass to customers review. 5. finally, I will build up our company web, to show our's produce and new development, make some advertisement in the famous web. Hope it can attracts some new customers to build up our business again.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"Name: Alice Career Plan 1, First, I'm going to open new store and buy new car this year. 2, Next, I'm going to have a second baby in next year. 3, Then, I'm going to travel in Hainan city in the third year. 3, Another thing I'm going to open a new store in tongkang downtown in the forth year. 4, Last thing I'm going to live in tongkang downtown in the fifth year.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"First I have to produce a CV that includes all the important information about my academic background, volunteers activity and any work experience that I have. Next, I'll make a job application that is a good idea to start. Another thing, I need to learn about other cultures, being a global citizen, understanding more other cultures, join a group or society, having a chance to meet people from other countries. The fourth stage of my plan is get some work experience, because employers prefer people with practical skills. finally, I will have the chance to do my favourite job a start a family.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"Career plan for the next 5 years. The goal of my career plan is centered on the balance of my activities. Within the professional plan this year I get at least 550 points in the Toll exam, which will allow me to take a Master of Science. This year I must climb a position in my work and in two years will climb 2 more. Will improve my communication skills with my boss. I will be that develops the best products of the company. Also, I will start my own business in selling software products. On the issue of health. I will take at least 2 hours a week of swimming. weekends are for family.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"essential elements of career planning, first i need to analyse my work environment because i am already working actually. Do i have to change my career or look for another job? I don''t know but with the answers i need to explore others opportunities, research the occupations and industries which i would like to work. With the career exploration done, it is time to select a possible career paths and go on with the hard work. Always studying a lot to achieve my goal.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"First, I going to need studlier than in moment, for I have to condition to be more prepared for the future in my company. Next, I will have condition of fight for one vacancy in my area as maintenance manager, for this is necessary very efforts of my part and too I gonna make other MBA on maintenance. Another thing, I gonna finished my verbal fluency in english for that I can to travel around the word where there are several factories for my company like dutch and tailndia. The fourth stage of my plan is develop a big job as volunteer for a charity. finally, I will help my employees grow up in career their, like raise salary and new opportunities.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"To whom it may concern: I'm responding to your online ad for the computer programmer role. I am really interested in the position. I'm a hardworking and motivated person. I took a my Electronic Engineer degree at UCLA and I worked for EasyNet for three years as computer programmer. I've attached my resume to this email. I'm free for an interview from the next week. You can call me anytime at cell: 300-300-300. I'm looking forward to hearing from you. sincerely, Andrea Rico",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"Company name: Andrew communication (China) Co.,Ltd Industry: Manufacturing Position: training coordinator vocation: Suzhou City, kiangs Province ,China Job duties: Make and finish the annually training plan, design the training course, manage the training project, file up all the training record. Minimum request: BA HR and Business Administration, 2 yrs relevant experience. salary range: MB 36,000 TO MB48,000",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"John miles Ltd, a worldwide known Manufacturing Industry located in Manchester, is seeking for a Regional marketing Manager. Job duties include but is not limited to design adverts, manage projects and work with sales to build our client's base around the world. The minimum requirements are BA marketing or similar, and 3 years of relevant experience in the manufacturing segment. salary runs from $ 35,000 to $ 40,000 depending on previous experience plus benefits.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"to josh barges . im writing in response to your online ad for computer programmer . im verey interested in the postin , im hardworking and motivated , i can speak both arabic and english wich could be really useful for u . i have attached my russe . im available for an interview any any this year . im locking forward to hearing from you . sale alahee .",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"we need a person for work at the Industry Manufacturing. Is a good opportunity for up grade in career. Job duties: design adverts, manage projects, work with a good customs and opportunity to travelling a lot. Minimum requirements: BA margenting or similar, 5 yrs of experienced, realize, responsable, competitive, friendly. starting salary: $ 45.000 to 50.000 vocation: New york Please, we are getting the CV just this months. The interview will start tomorrow. Thank you!",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"Our company's name is John miles Ltd. My company's industry is included to Manufacturing. We'll offer you a position,which is Regional marketing Manager. If you assent to our offer, You will work in Manchester. This job is responsible for resin adverts, manage projects, work with sales to build client base. Our job's minimum requirements is BA marketing or similar, 3yrs relevant experience. We'll pay you a monthly salary of $35000 to $40000.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,To Whom is interested I'm responding to your online ad about a opportunity to work as computer programmer. I'm very interested on this job. I'm graduated in computer programs Development and I have working in this area about 5 years. I attached my resume and you can reach me anytime at my cellphone: ## ####-####. I look forward to hearing from you. Thank you! Paula Araua,You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"I worked for ask Incorporated, as a Regional marketing Manager, for two years until just recently. While I was working with that company, I learned how to develop e-shop on the internet for the customers. I helped plan the designs web sites for online shop and I also helped carry out the plans of year. It was my duty to organize the e-shop and to maintain a professional work atmosphere.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"John miles Ltd.(Manufacturing Industry) -located in Manchester- is looking for a ""Regional marketing Manager"", who is able to take on new responsibilities and experienced. Job duties include Design adverts, manage projects, work with sales to built client base. It is a full time job and days run from $ 35.000 to $ 40.000 depending on experience. This is a great job for aspiring marketing manager. Three years Experience and BA marketing are minimum requirements. If interested, please email us with your contact information and resume to set up an interview. Reply to: ...",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"Company name: MEX Industry: building Position: coordinator planning and development vocation: Monterrey, Mex. Job duties: design reports, show presentation, follow budgets, work with people Minimum requirements: MBA or BA, experience 3 years in logistics area. salary range: 50,000 to 60,000",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"I want to tell you a interesting thing when I was traveling five years ago. I worked in a small company when I graduated from university. I came back home in the ending of the year. I must transfer a bus in beijing so I had to live in there for a night. I stayed in a very little and very shabby hotel. There was two people in one room. When I prepared to go to sleep, the another man came in. minutes later, the man took out a antique and talked to me. He said that he want to sell to me the antique which was he stolen for a very cheap price. I refused him. That night I was not sleep all the night. It's a strange experience.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"Hi tim, I also had a kind of scary experience too! This fact happened when I got a trip with my family to the farm on friday's afternoon. The farm is about 70 km from the city where I live. When we were leaving the city the weather started to change fast and a strange rain fell in the road. Our car seemed a boat, water in all sides. When we entered in a dirt road the car stopped in a mud, and we can not get out of there. So the our only chance was use the cell phone, but the signal was much weak and I had to walking so much until the signal became better and finally I can calling to help.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"bello Tim, Your history is really crazy! I so good and don't have any thing the same as you. I and my family travelled all the years in vacations, in the last vacations we were to Caribbean, this a beautiful place. First we arrived to Dominican Republic, the amazing hotel, after we got to Puerto Rico and we got the ship around 10 island in the middle of Caribbean, amazing!! For finish we got to Miami and Mexico Cancun, I love It.... So we are already looking forward to the upcoming vacations... Please let me know about you. Best regards.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"Hi Tim, I'm fine, thank you for your interest, I was out of Ankara for a long time. I had to gone for business trip. For this reason, I didn't replied your e-mail. I read your holiday adventure that you have had a very interesting events there. I went to holiday to east Anatole this summer. I wanted to rafting and I rented a boat with my friends. We started the top of the First river but we have been an accident nearest the end of river. My friend's Murat hit the head to a stone but He wasn't have serious injury. wafting is amazing sport, I will try again when i go to holiday. May be we can do together this summer, what do you say? see you soon. Ahmed,",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"Hi Tim, I was fine the last year I had in a rock band, this was incredible, we play all the weekends, we play songs of the beatles, the doors, the credence, the eagles, etc... classic rock, this music is the best, really, we have a club that my girlfriend was formed, the band was called 'cap a fanny', we are a five integrants, the vocal, the drummer, the keyboarder, the bassist, and I played the guitar, I was the guitar leader, oh!, this was awesome.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"bello Tim, I am very pleasure to know about you and James. Your trip was very exciting, I thing is good to know new places and to experience adventure taking some risks. You and James are very brave. I remember when I went to carafate, Argentina and I explored the Pepito Moreno iceberg, it was very exciting and different experience and I loved it. I went with my family and was the last day of the season that we could visit walking the glacial.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"Hey Tim, yes , we haven't heard from each other for a long time. I'm fine, but I has been very busy. I'm working on a new project since two years in Australia. This is a beautiful country and the people are very kind. Three months ago I was on holiday to the centre of these fantastic country. I flew by plane to Alice Springs. The arrival was total hard, because there was it very hot. Even though the trip around the ""Uluru"" was very exciting. I must get back to work. See you, Birgit",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"Hi Tim. Your message was very interesting. I hope you OK. I had interesting case too. In previous month I and my family went to the black see. When we arrived at Krems (it is the nearest city to Caucasus mountants) was 12pm on the clock, and strong rain ought us. Strong rain didn't stop 6 ours. Then we stopped on the gas station to fill the patrol, and when I got out of the car I saw that flood around gas station. We stayed at station all night. On the morning we find out that more 160 peoples had died in Krems in this night.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"bello Tim, I'm very well thanks for ask. I loved your history was so exciting! Never happened anything like this with me but I have a funny history. Was in 2000 when we got back from China dude I don't knew speak English or Mandarin haha! And we got lost! I don't knew the hotel and I dont knew ask for people because they dont speak portuguese, so we take a taxi and the taxi man bring we to hotel. Well that was my funny history! I hope which you liked. thanks for remember of your old friend.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"Hey,Tim It is so nice to hear from you, It is so exciting of your japan typhoon experience. I have a smilier experience, but on the mountain. out twenty years ago, I climbed mountain pain in standing province with my schoolmates. In order to watch sunrising sight, we begin to climb the mountain from 10.pm. when we got to the top of the mountain, only 2 am, It was Labor day, we felt very cold and have't enough cloth to make warm, so ,we dancing in order to get warm and not felt very cold. Is it so funny? hope to hear from you. best regards and write back to me soon.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"In my age group,19-30 years old,the most popular To programs are movies and soap operas,but as far as I'm concerned,I don't follow this tendency because I enjoy too much news and documentaries.secondly;I agree with the fact that women watch too many soap operas and reality tv.Moreover,music shows is getting more popular in my country so many people watch that.Unfortunately,the least popular programs are news and documentaries as well.It's really damage because it's so interesting",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"Hi Renee, Well, I saw the TV survey. I have 2 TVs in my house. In my age group, the most popular TV programs are news and weather, sports and game shows. I like watching the news, weather and sports but I rarely watch game shows. I like watching documentaries and soap operas, sometimes. The least popular programs for my age group are cartoons and soap operas but I don't agree. I like watching soap operas and I think they are very interesting. I like to watch the news in the evening. See you soon, Mary.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"Hi, How are you doing? have you seen that survey? It's nice to know your habits compared with other people. I agree that the most participants' houses have 2 TV ,also unemployed people watch TV than other. In my age group, the most popular TV is sitcoms. the report shows the most programs they want to avoid them, I think that's awful, it should be sitcoms. I never watch it. I agree with that one. The most popular time to watch TV is in the evening. best regards, Abdulaziz",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"Hi Renee, thanks a lot for you having sent to me this survey. It's an interesting revealing of the habits of demographics. But , you see, I don't recognize myself in my age group. In fact , I'm watching TV less and less and I think that TV programs are getting pourer. So, I actually use TV by hiring DVD of good movies. Although, of course, every day I watch one time news and weather but my main way for getting information is reading newspapers. And what about you, my dear? I would like to be told! Take care of you kisses",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"bello Renee, I was very impressed when I read that 51% watch the news and weather. I did not expect that, I like them but I thought most of the people hate news because they were depressing. 39% of the participants avoid reality TV, I totally agree. they are so unnecessary. I was surprised that they came in second. I was sure they come in first. As for me I prefer talk shows than reality TV. But I was also impressed by the result of 56% of women who watch funny movies. I agree with that but I would have thought that the majority of women prefer romantic movies. regards",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"Dear Renee Such interesting survey. comparing to myself I'm almost a couch potato! I have 3 TV sets at home and spend almost 3 hours a day with the TV on. I actually fit my age group. I love watching the news and sports. actually I watch the news three times a day, whenever I'm having my meals. However I'm a real fan of documentaries and they don't even appear at the survey for people my age. As the survey states soap operas and reality TV are disgusting. I avoid them as far as I can. What's the use of watching others people private life?%% I also agree that men like action movies while women prefer romantic ones.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"Hi Renee. well, her survey show a lot of groups , I think that you must choose 2 group and compares each one, for exempla white color and blue color , when you to choose the groups so you must do the canalise , first you must do a figure to show the results and opinions of groups , you must do clear questions , I can send some question to you, but you reformulation some ones, finally you must have time because this survey is very important it take more information about demographic groups ,this very interesting to you and some businesses. good luck.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"The To survey show that most of people have two TVs in home. I my home I have four TVs (I think this is too much). Today the most programs that my age group like to watch are movies, news and weather, soap operas, sitcoms and reality To. I usually prefer watch a great movie or the news to each a soap opera or reality tv, they are very boring. The kind of movie most watching for the peoples are moviessad, and exciting movies to the mans, for the womans, the most popular are romantic movies and also moviessad. In my opinion romantic movies are cool, but i really like fiction and adventure movies.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"Hi Renee. With the data that you send me, we can prepare the new report for publication, but I will make some commentaries about it. I don't agree with the age group survey popularity, because I don't like soap operas or reality TV. I agree with the type of programs to avoid in my age. I like so much to watch scary and exciting movies like showed on the survey too. This is it. Thank you so much0",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"bello Renee, thank you for your email. I've seen the survey as well. It's very interesting to see that I seem to be a very typical woman of my age. I have two TV in my home and I'm watching regularly TV in the evening hours. I prefer documentaries, news and the weather. And I like very much watching movies. I like funny moviessad movies and romantic movies as well. I really don't like scary movies. Yes, I hate them. Have a nice day, see you soon, Lena",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_5,Issuing a written warning,"Dear James You has been with the company for 5 years now and you still are not good at time management and never updates the database.Two weeks ago, you did not finish the sales spreadsheet on time and so we had to do it for you. We are all busy too and so we don't have time to do your extra work. recently, You always shout at colleagues and never says 'please'. I eager suggestion you can study more computing skill and join various training course,This can promote yourself. It is time that you started being a more professional. Angel",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"Dear James, I must report you that I've received some complaints from your colleagues about your working style and habits. I was informed that you are not good at teamwork and time management. While working you should remember that refusing update the database you make troubles for all department. furthermore, one of the most important quality of sales manager is punctuality. You should always arrive at appointments on time. finally, you should try to be more tidy. Keep neatness at your workplace. I hope you will improve you work and establish good relations with your colleagues. Best wishes, K.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"Dear James, Some serious problems have been brought to my attention relating to your working style and habits. This is a formal letter of warning to ask you to improve your work. Let me outline the areas in which you need to improve your work. you have to work very hard. you are late very day to work. you must be more punctual. you have to come to work on time. you are getting more lazy. look at yourself. what are you doing? i believe you can do better. i trust you.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"Dear James,I have attended some serious problems relating to your working style and habits.This is the formal letter of warning to ask you to improve your work.let me outline the areas in which you need to improve. 1. You must think about the teamwork.You must update the database in order to let your staff know who they may contact with. 2 . You must be good at time management ,You must be punctual at any meetings and appointments. 3. Please be more tidy and professional.The office is not for your own but for all the colleagues.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"Hi, Mike. This is highly confidential but I would like to tell someone. You are my best friend, right? You know, Ken often buy a lottery ticket. finally, he did it! He won the lottery! He won a large sum of money in the lottery. He hasnt told that to anybody except me. He is going to quit the current job. And he will move to somewhere along the sea and use that money for the purchase of a house. Ill contract you again. Best regards, Yasutomo",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"James, I''m writing to you to help you to improve your professional results. You must have to be more careful about de up dating database, and I recommend you to learn working in team. It''s very important to the company. It would be very good if you did some courses to improve your performance and up dating studies. It''s very important to be a punctual person and reliable too. I''m sure you are capable to deal with this.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"Dear James, there are some problems relating to you, your working style and habits. We have been known about it from your colleagues email. You have to pay attention on the problems and try improve. The first problem is you cann't work in team. You are a good saber, but you work together with another people and you have to communicate with them. You don't have create extra work to them. For example, you must update spreadsheet, do database, be tidy, clean your workplace and don't mess. Second problem is time management. You must be on time on meeting, at work and so on. We wish you to change yourself . Good luck",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"Mr James, Some serious problems have been brought to my attention relating to your working style and habits. This is a formal letter of warning to ask you to improve your work. Let me outline the areas in which you need to improve. You are a good salesman but you have to think about teamwork, so please update tha database always after a meeting with your clients and keep the office clean. You have to be more organized and punctual. King regards, Claudia",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"Dear James. I recite some serious comments about your behavior at work, I recite the comments that you are not updating the database, so you have to do it to avoid problems with the database. I recite too the comment that you are arriving late to the appointments, and that it's a bad behavior with our clients and we could lost them. Last thing, some one comment me that you are a little disorganized at the office, and this affect to your colleagues, please be more carefully whit your things. regards Victor Matas",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
