CORPUS,TOPIC_ID,TOPIC,HUMAN_TEXT,PROMPT,LLAMA_TEXT,GEMMA_TEXT,MISTRAL_TEXT
EFCAMDAT,EF_1,Planning for the future,"Career Plan Name:Teahan First, I have to work hard and get a promotion. I graduated a year ago, and the job is a new one for me. I must learn the practical skill. Next, I have to improve my English. As a researcher, it is very important to master English. Another thing, I must further my education and get a doctor's degree. The fourth stage of my plan is to go abroad for advanced study. finally, I will become a very famous scientist.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"My career I have fifty two years and i am general manager in my company. But i have a goal: to be a director in a company. until i know that i need to improve many points in my life, in my career. For ex: i need to develop my communication, i need to be more opened to listen peoples, to have more calm when i have in front of a problem and to need have a fluent language. English for me, is very important.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"First, I am going to study in business major and gain knowledge from textbook in college. Next, I will apply for internship opportunity in trade company and learn the business in reality. Another thing I like to do is to take a year gap before having a job. I will expend my vision by traveling around. The fourth stage is to be trained by different working system, therefore I will change my job two to three times in 5 years. finally I will choose the job I am really interesting in and work hard to get a promotion.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"First, I will take a gap year, because I can earn a lot of experience with that, but I'm not going to make money. Next, I will attend to career fairs, so I can meet the employees of the career I closed, and earn some experience with them. Another thing, I will try to improve my CV, so I can get a better prospect at my career. The fourth stage of my plan is to make jobs applications, starting soon, so I can get a good job. finally, I will get the job that I want, if everything goes well.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"Career plan. First, I would like to finish my English lessons in order to improve my vocabulary and my conversational skills. This is because in my job I constantly talk with native English speakers and I need to be understood clearly. Next, I would like to obtain a masters degree in digital or embedded systems. When I have done with my masters degree and I have an excellent English level, I will apply for a better job, maybe in another city or even in another country. finally, I would like to start my own business",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"bello Robert, in two weeks my contract with the tennis Academy will be over and I'll come back home. At present I am applying for several colleges in the USA. I hope that I will get the permission to study there as a transfer student. maybe I am allowed to transfer all my ECT Credit which I gained during my law studies. If it works, I'll be abroad for maybe two years. If not, I'll try to finish the law studies in Berlin. Do you have any plans for the future or are you still uncertain what you want to do? I'm looking forward to hearing from you soon!",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"Oscar's career plan. 1.First I will focus on my principal customers. 2.Next, I will create new sales opportunities in different places that I have not been before. 3. Another thing I am going to do is definitely focus on my sales target amount. 4. Another stage of my plan is to take some capacitations in order to improve my sales skills. finally I will focus on accomplish all of my objectives.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"Career plan Name: Salvatore oscine First, I want to keep on studying, and graduate in a maximum of 2 years. Next, I want to get an English language certification, and maybe spend next summer holidays in England for a working holiday experience. Another thing, I will send my CV to every interesting telecommunication and informatics company, located in Italy or outside Italy. If I won't get any interesting job offer, I'll consider the opportunity of a volunteer experience. finally, I hope I will get married with my girlfriend.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"Career Plan Name: Michel 1. First, I will improve my CV publishing more than 2 articles per year. 2. Next, I will participate to 1 international congress per year to follow the new tendencies and methodologies useful to develop my works. 3. Another thing I will try to do during the congress is to invite young students to work in my laboratory after they will conclude their PhD studies. 4. The fourth stage of my plan is to be included in the graduation commission. 5. finally, I will propose my candidature to participate to the University Administration Service.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_1,Planning for the future,"My professional plan for the next five years. 1. First, I want to obtain my Master's degree in chemical sciences. 2. Next, I want to work as a teacher in high school; teaching in science area. getting experience as a teacher is Really important to me. 3. Another thing I want to accomplish is my economic indecence And be able to get my own things such as a car, a house. 4. The for stage of my plan is to serve as many Pepe as I can as long as I live. 5. finally, I will get married and have children.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Planning for the future.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"An attractive Regional marketing Manager's position has become available in Jone miles Ltd. which is in the manufacturing. The office is located in Manchester. The job duties of this position are: 1. Design adverts. 2. manage projects. 3. Work with sales and build client base. successful applicants should have at least: 1. BA in marketing or similar. 2. 3 years' relevant experience. salary range would be $35,000 to $40,000. If your are interested in this position, please send email to us to get more details on the application procedure.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"To whom in my concern, I am writing in my response to your online ad for computer programmer. I have interested in the position. I have a lot experience about this work. I am motivated person and am a hard working. I have attached my resume. I am available to interview anytime. You can reach me anytime at ######### I look forward to hearing from you. sincerely",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"i am writing in response to your online ad for portuguese teacher. I am native and i have a lot of experience in the education of foreign students. I need to write too that i am very hardworking professional and a excellent person to relationship. i have attached my resume to you and i will be very thankful on a answer of you. you can reach me at ######## sincerely,",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,John miles Ltd is searching for a new Regional marketing Manager We are a Manufacturing company for cars in Manchester. Our new Regional marketing Manager needs a BA in marketing or similar and minimum 3 years working experience. You need to be good in design adverts and manage projects. Important is also for us the work with sales and to amplify our client base. The salary range is between 35.000$-40.000$ depends form your experience. We are looking forward to receive your CV.,You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"To whom it may concern: I am writing this letter in response to your advertisement for a computer programmer.I have four years experience as a system engineer with a certificate in computer programing. I am very positive, honest and organized person with a perfect team work skill. I have attached my CV. You can contact me by e-mail, xxx@yahoo.coo.up I look forward to hearing from you soon. Kind regards, Hon Honda",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"To whom it may concern: I'm Francesca Tebaldi. I'm writing in response to the ad: I am really interested in the position of computer programmer. I have 5 years' experience in an international software company. I have attached my resume. I am available for an interview every morning during next weeks. Yu can reach me on my cellphone anytime. My phone number is: ##########. Thank you very much and I am looking forward to hear from you soon. sincerely, Francesca",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"Are you looking for a new job? Please look at this ad and contact us soon if you think you have the qualifications bellow. ""John miles Ltd manufacturing is looking for a Regional marketing Manager to work in Manchester. The candidate must have BA marketing or similar and three years relevant experience in the field. The job duties are design adverts, manage projects and work with sales to build client base. The salary range is $35.000 to $40.000"" e-mail xxx@ggeventos.com.br",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"grs, I am writing in response to the Ad yours put in the newspaper. I have a experience and skills for this position. I have been working in ti about ten years and have knowledge in this new technologue. I love challenge and looking toward to developed myself studying. I would like a personal contact where i can explain how i am working and my skills for the position. Act. Ramiro Lorens",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"Company: radio tecnology We are a company with 23 years of market and we are looking for sales assistant, to work in Brazil, but it''s not exclude the possibility of working elsewhere like USA or England, so one of the requirements is the availability to travel. A second language like Spanish, Portuguese or English will be differential. The benefits include meal vouchers, transportation, flexible hours and a salary of 18.000 per year ($ 1.500 per month).",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_2,Writing a job advertisement,"John miles Ltd., one of the leading companies in Manufacturing, is looking for keen and competitive individual for position of Regional marketing Manager. Our office is located in business borough of Manchester, UK. Job duties include design adverts, manage projects, work with sales to build client base. Our minimal requirements for this position are: BA marketing, 3 years of work experience at similar position. possibility of solving problems in terms of tough time limits is necessary. We provide pay based on experience in range from $35000 to $40000, 4 weeks paid vacation, paid public transport if necessary.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing a job advertisement.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"Dear Tim, Thank you for your email. Your experience is very exciting. Now let me talk about my interesting experience last summer. I've visited Shiretoko in Japan which is one of nature World heritage site with my friend. It's northern place in Japan, so it was cool even in summer. We were looking forward to going hiking through the forest because it's famous for beautiful scenery. In the forest, bears are living and we had to be taught how to protect ourselves from the danger. But no bear appeared when we walked through the forest. We could enjoy hiking safely.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"Hey, I'm fine, and you? I have been working a lot, because the company where I work, is doing a challenge with the employees. The challenge is, everybody needs to do a work plan to the company, the director will choose the best, and promove who did it. It has been a difficult challenge to me, because I want this promotion. So I'm doing all I can, to win it. Because of this challenge, I don't have time to trips. See you, Alex.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"Hi, Tim, I'm fine, thanks. I have not written you, because I have changed my job. So now I'm working hard and my new job takes all my time. I have not been on vacances since I have taken a new position as responsible for education. I can't say that this position likes me but the salary is higher in comparison with my previous position.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"Hi Tim!, thanks for email me. I have been a little tired because I have had a lot of work in my job. I am impressed about your travel, thanks to Gad that everything was ok. Let me tell you that I have had some memorable experiences too. I remember, the last easter week holidays, I went to visit my parents to Veracruz, in the east of Mexico, while I was staying there I enjoyed to waste time with my family, but when I was coming back, it started to rain a lot and the road got problematic, because I required to cross a mountain where the road just have two rails and there were some accidents.%% The trip usually take me 6 hours in that day it took me 14 hours to arrive home.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"Hi, Tim! I am fine. Thank you. But I don''t live in the same city anymore. Last year, my family and I moved to Saint Louis city, in order to avoid stressing life. I finally graduated and decided to live in a city near the beach, far away from the noise and pollution. And also, I don't need to spend many time at traffic, because I live near my job. I think that was the best decision we could have made. Pus, now I have more time to take care of my husband and kids.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"bello Tim, I'm fine! Year It's been a long time since the last email, I have been so busy with my business to can't even check my emails. Oh man, what a great story! Hiro saved you life, and the whole trip. Your story make me remember that time I went to Swiss in a snowboard camp with a couple of friends. While I was riding down the Mt. Avril an huge avalanche buried me. At the end, the dogs found me under the snow and my friends saved me. Next time I will be more careful. Peace, Mario.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"Tim! How much time no see you! I'm good! au, your experience was very exciting! The ""typhoon party"",that's new for me! I'm glad that everything went be alright for you! About me, I'm really busy, but fine. As you may know, I'm studying master also to work. Last week I did a terrible test. But let's talk about good things. I told you I getting married soon? I've been looking for some musicians for the ceremony, you know any? I've learned about decoration, culinary and how be patient! (laughs) I hope to see you at my wedding! Hugh, Hon",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"Dear Tim, Nice to hear from you, it is really a long time for us to write a letter to each other. Yes, I am busy on business trip these days.But I think James and you had a very funny trip in Japan. Last month, I also went travelling with my colleagues in Anti,Zhejiang province. We claimed a very beautiful mountain, we also lived a hotel which located at half mountain. It was very peaceful and the air there was very fresh too. We also had an amazing experience in drifting boat along the river. It was a little scary, we need to attacked each other by water. The winner was who the first arrived at the end of the river. Let us keep writing in our convenience time , wish you all the best. Yours Hon",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"Hi Tim. I hope everything is marvelous with you. Let me tell you a story. Last week I and Simone went to a beautiful beach named Recife. We hired a tent in a camping area near the beach and went straight to the beautiful blue sea. We stayed there for about one hour and when we were going back to the tent, the weather had changed and a strong wind was coming toward us. suddenly, it started to rain. We had to stay in a shelter area until the rain had stoped. We should have checked the weather forecast",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_3,Writing about a memorable experience,"Once in my life, I took the wrong bus and I fell asleep, but I had not noticed that I was in the wrong bus. So after my waking up, I recognized that I was so far away from my home town that I just started to cry and thought I would not never come back. But I calmed down and got off on the next stop, informed me how I came back and bought me a ticket and went with the next bus to my home town. This is just a story , no adventure.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Writing about a memorable experience.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"Hi, dear Renee, thanks for your email. I have headed the results which you sent to me. Most of them are similar in choice of mine. For example, I like watching sitcoms and soap operas and I don't like talk shows and game shows. I prefer to watch the news in the morning when I have breakfast. I like to watch romantic movies when I am tired or feel blue. What about yours? Best regards! yours lei",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"In my survey, the percentage of people who possess more than 2 TVs is 40%. I found that of the participants, most people spend 2 hours one day. The figures show that people are watching less 3% TV than this time 5 years ago because they usually surf the Internet. The ratings are at least popular for documentaries. People in white collar jobs like watching sitcoms and talk shows. However, People who work in blue collar jobs like watching reality TV and game shows. For movies, male prefer exciting movies and female prefer romantic movies.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"Dear friend, thank you so much for the survey you have sent me; it will be useful since I will be able to discovery whether I am a couch potato or not. Of course I'm comparing my habits versus people at my similar age, gender and activity . Since I live with my partner, we have two TV sets at home, so we can follow two different programmes at the same time. I watch To about 16-25 hours a day, mainly during the night. I prefer news, talk shows and movies with English language subtitles. I dislike soap operas and reality. I must say that my choices, according to my character, are sometimes different from the average choices. sincerely yours, Joe.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"Hi Renee, I received the survey you send me. looking the results, I think the people like to watch TV very much. For our age group, the majority likes to watch regular news and weather and it is most popular for sixty percent of the people. About the programs we avoid, I look thirty percent don't like it too and about the programs we think are less popular, at least thirty-five percent think as we . Final, the people of our profession, sixth-three percent like to watch the news and the people our genre 63% like to watch exciting movies.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"The survey shows 17% of the viewers have only one TV like me. I spend 10 hours a week watching TV. I watch regularly documentaries and news. In my age group (I'm 44 years old), news and weather represent the highest figure : 60%. I prefer avoiding talk shows like most of the viewers (42%), game shows (the global rating is 35%) and reality TV (39%). I'm completely agree with my age group . I prefer watching the news in the evening like 63% of the white collars. I like to watch funny movies like most of the females (56%) or romantic movies (46% for females and only 12% for males).",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"Thank you Ronne for sharing the information about the TV survey. I had the opportunity to compare this information with my own habits and I totally agree that the news and movies are popular with people in my age group, but I don't agree with soap operas. definitely I agree that reality TV and talk shows are the least popular. It was funny to confirm, that men prefer action movies in comparison with women who prefers comedies. regards,",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"Dear Friend, thanks for your email about the results of the survey. It was very interesting for me. I looked specially at my age group above 60. Yes, we have also two TVs in our house. I'm also watching regularly of the programs News and weather like many people. But I don't like movies, soap operas and talk shows! These programs are not my favourites like at people above 60 years. I'm watching rarely TV, only sometimes I'm looking talk show, a sitcom or a good music show. You see, between the results of a survey and my own doing is a great difference! sincerely, Your Michael",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"bello, Renee! I have read results of the survey. Many items are similar the truth. For example, there are two TVs in my house too and I watch exactly NewsandWeather more regularly than other kinds of programs. I agree with the most items for my age group. I concede that reality TV are popular in 19-30 age group, but I have a dislike for reality TV. To tell the truth, my preferences are in 31-45 age group at the item about popular programs in different age groups. eye-bye!",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"Hi Renee, Many houses have two or three TVs. We have one TV, but it's OK, because I just spend 5-15 hours on TV. The survey shows that employed people watch less TV than unemployed. I agree with that. I'm a student and have hardly freetier. The most popular programs for my age group are sitcoms, soap operas and reality TV. I disagree with that except sitcoms. I like watching sitcoms, not all, but some of them. I think soap operas and reality shows are boring. I prefer documentaries and exciting action movies.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_4,Taking part in a TV viewing survey,"Hi Renee, How it's going? I have read the survey and I am agree in some things. For example, I have two TV's in home and I spend less than 10 hours a week watching TV. Really I watch sports and documentaries. I'm not agree with the percent about news and weather in my age group (31-45) because I don't like watch the weather. I agree with the sort of programs I prefer to avoid: talk show, put that''s boring. See you",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Taking part in a TV viewing survey.,,,
EFCAMDAT,EF_5,Issuing a written warning,"Some serious problems have been brought to my attention relating to your working style and habits. This is a formal letter of warning to ask you to improve your work. As you know, this enterprise is focused in sales but we have also main drivers as the quality, Order and teamwork as our guidelines, and you need to align your behavior; finishing your work with high quality standards, working in a cleaner workspace and working together with your partners. You have all the potential, you are an excellent salesman in a sales enterprise, I'll be tracking your progress. regards",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"Hi Jack, I have great news about our store. The last week a big company PTW, called for me and decided buy all ours products for one year, but they will need all rights and exclusivided for the products. It's very amazing because we will make money, but the problem is the ours customer. The will stay upset to us. I don,t know what can we doing about this. I hope you have a big idea to solve this situation. Take care",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"fist of all, it is important you be more tidy because you are disturbing other employees. You need to be more professional. It's not suitable you get late for your appointments. The teamwork is very important for the business, so communicate more with your colleagues, update the database. Someone with your role needs to be more careful with you time management. I holp we don't need to discuss these problems again. I know you have good qualities, but in the set I'm disappointed with you. I holp you fix this situation soon.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"We know you are good at sales and have made good performance too. However, you should update the database in time so your colleagues can share these information. Be a team player! Keep communicating with them, you can achieve higher level in your sales! You must improve your time arrangement skills to make sure you can attend in time in future meeting and appointment. By the way, I would advise that your personal hygiene looks not so good regarding the feedback of your colleagues. Give me your action plan within this Friday.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"Hi! You won't believe this. Last night the father of my friend was pass with your car the bridge, but when he is going, the water took him, my friend was crazy because this, but thank God the people found him next to the square. My friend stayed very happy for this. Now is ok with him, but this was terrible. Today found the car him, was really broke. But the important is be all okay, thank God. Antonio Carlos.",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"Dear Ana, you'd never guess what I've just known: Mr. M was fired! I'm really shocked about that. yesterday he sent me an email asking me to change some software settings. I replied him telling everything was done and, all of a sudden, he dropped another email thanking me and saying he was cut off of the team and are going to the office tomorrow to grab his stuff and say goodbye. actually, we know this was about to happen sooner or later. He's the incompetence in person! Please, don't say a word to the others and act naturally, as you didn't know nothing. Let me know about all other details as I'm not going to be there in the morning. cheers, B",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"... you need to improve: - teamwork: you have to think more about teamwork. You should communicate more with your colleagues. Remember: you work with them and not alone. Don't forget to update de database: you never do it. - Organization: you have been late for several appointments. It's unacceptable for a professional. Also, your office always is a mess. You must be more responsible and tidy. Everybody recognize you as a great salesman. If you follow this orientation, certainly you will have success in our company. If not, unfortunately I'll have to fire you. regards, Gabriel",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"In our company, it's very important the teamwork and the appropriate updating of the database because it is part of the sales strategy, so you must to take care of this ASAP. I haven't to tell you, but you have to attend the appointments like a professional so you mustn't arrive late to them. finally, you need to understand that the office is a place where many people are working, that's why, each one have to be tidy, clean and professional when we are working here. Please take care of this points to avoid more problems. regards,",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
EFCAMDAT,EF_5,Issuing a written warning,"From: Manager To:James Mason Date:July 14, 2012 Dear James, Some serious problems have been brought to my attention relating to your working style and habits. This is a formal letter of warning to ask you to improve your work. Let me outline the areas in which you need to improve. First, you must improve your communication with other staff, telling them timely what you are doing on your work, and updating the database on time. Second, you have to improve your time management, you must be a punctual person on work. Third, I advise you to be a tidy person ,such as washing your coffee cup timely, and get the thing in office in their ordinary order. I hop you can do this. sincerely Manager",You are an English learner.Your native language is not English. You are currently at B1 level. Write a piece of text on the topic: Issuing a written warning.,,,
